,lemma,en,type,pos,de,note
0,-a,_,suffix,_,_,_
1,-al,MOM,suffix,Verb,МОМ,_
2,-alt,MOM,suffix,Verb,MOM,_
3,-amen,SG<1DU,suffix,Noun,SG<1DU,_
4,-ameː,CVB,suffix,Non-finite verbal forms,CVB,_
5,-amu,_,suffix,_,_,_
6,-an,_,suffix,_,_,_
7,-an,_,suffix,_,_,_
8,-an,PL<2SG,suffix,Noun,PL<2SG,_
9,-anal,_,suffix,_,_,_
10,-anamen,PL<1DU,suffix,Verb,PL<1DU,_
11,-anamen,PL<1DU,suffix,Noun,PL<1DU,_
12,-anaw,PL<1PL,suffix,Noun,PL<1PL,_
13,-ane,PL<3SG,suffix,Noun,PL<3SG,_
14,-ane,PL<3SG,suffix,Verb,PL<3SG,_
15,-anel,SG<3PL,suffix,Verb,SG<3PL,_
16,-anel,SG<3PL,suffix,Noun,SG<3PL,_
17,-anel,PL<3PL,suffix,Verb,PL<3PL,_
18,-anen,PL<3DU,suffix,Noun,PL<3DU,_
19,-anen,PL<3DU,suffix,Verb,PL<3DU,_
20,-aneːn,_,suffix,_,_,_
21,-ant,DUR,suffix,Verb,DUR,_
22,-anum,PL<1SG,suffix,Noun,PL<1SG,_
23,-anuw,PL<1PL,suffix,Noun,PL<1PL,_
24,-anuw,PL<1PL,suffix,Verb,PL<1PL,_
25,-anǝn,_,suffix,_,_,_
26,-anə,_,suffix,_,_,_
27,-anəl,PL<3PL,suffix,Verb,PL<3PL,_
28,-anəl,_,suffix,_,_,_
29,-anəm,PL<1SG,suffix,Verb,PL<1SG,_
30,-ap,MOM,suffix,Verb,MOM,_
31,-asʲl,DUR,suffix,Verb,DUR,_
32,-at,MOM,suffix,Verb,MOM,_
33,-at,NOMZR,suffix,Noun,NOMZR,_
34,-attal,PTCP.NEG,suffix,Participle,PTCP.NEG,_
35,-atʲeː,_,suffix,_,_,_
36,-awə,_,suffix,_,_,_
37,-axt,REFL,suffix,Verb,REFL,_
38,-aŋ,_,suffix,_,_,_
39,-aɣ,3DU,suffix,Verb,3DU,_
40,-aɣe,DU<3SG,suffix,Verb,DU<3SG,_
41,-aɣe,DU<3SG,suffix,Noun,DU<3SG,_
42,-aɣən,DU<2SG,suffix,Noun,DU<2SG,_
43,-aːl,_,suffix,_,_,_
44,-aːnəl,_,suffix,_,_,_
45,-ejin,_,suffix,_,_,_
46,-eke,_,suffix,_,_,_
47,-eln,IMP<SG,suffix,Verb,IMP<SG,_
48,-elən,_,suffix,_,_,_
49,-en,IMP,suffix,Verb,IMP,_
50,-en,2DU,suffix,Verb,2DU,_
51,-en,SG<3DU,suffix,Noun,SG<3DU,_
52,-en,IMP<PL,suffix,Verb,IMP<PL,_
53,-ena,_,suffix,_,_,_
54,-enen,_,suffix,_,_,_
55,-enuːw,_,suffix,_,_,_
56,-eəɣ,_,suffix,_,_,_
57,-eɣ,_,suffix,_,_,_
58,-eɣ,3DU,suffix,Verb,_,_
59,-eɣum,_,suffix,_,_,_
60,-eɣum,DU<1SG,suffix,Noun,DU<1SG,_
61,-eːɣ,PRS,suffix,Verb,PRS,_
62,-i,PRS[3SG],suffix,Verb,PRS[3SG],_
63,-ijane,_,suffix,_,_,_
64,-ijn,_,suffix,_,_,_
65,-ilameːn,_,suffix,_,_,_
66,-ilan,_,suffix,_,_,_
67,-ilen,_,suffix,_,_,_
68,-im,PTCP.PASS,suffix,Participle,PTCP.PASS,_
69,-ima,CVB,suffix,Non-finite verbal forms,CVB,_
70,-ima,MIR.PASS,suffix,Verb,MIR.PASS,_
71,-ime,CVB,suffix,Non-finite verbal forms,CVB,_
72,-ime,PTCP.PASS,suffix,Non-finite verbal forms,PTCP.PASS,_
73,-ime,MIR.PASS[3SG],suffix,Verb,MIR.PASS[3SG],_
74,-imen,_,suffix,_,_,_
75,-in,2DU,suffix,Verb,_,_
76,-in,2SG,suffix,Verb,_,_
77,-ine,_,suffix,_,_,_
78,-inən,PL<2DU,suffix,Verb,_,_
79,-inʲsʲ,COLL,suffix,Noun,COLL,_
80,-ip,_,suffix,_,_,_
81,-it,3PL,suffix,Verb,_,_
82,-iɣ,_,suffix,_,_,_
83,-iɣ,3DU,suffix,Verb,_,_
84,-iɣl,FREQ,suffix,Verb,FREQ,_
85,-iɣt,MOM,suffix,Verb,MOM,_
86,-iːn,2DU,suffix,Verb,2DU,_
87,-iːɣ,3DU,suffix,Verb,_,_
88,-jane,_,suffix,_,_,_
89,-janeːn,_,suffix,_,_,_
90,-janl,_,suffix,_,_,_
91,-janən,PL<2SG,suffix,Noun,PL<2SG,_
92,-jaɣ,_,suffix,_,_,_
93,-jaɣm,DU<1SG,suffix,Verb,DU<1SG,_
94,-jaɣn,DU<2SG,suffix,Verb,DU<2SG,_
95,-jaːɣum,_,suffix,_,_,_
96,-juw,_,suffix,_,_,_
97,-jən,2PL,suffix,Verb,2PL,_
98,-jən,_,suffix,_,_,_
99,-ke,PREC,suffix,Verb,PREC,_
100,-keː,CVB,suffix,Non-finite verbal forms,_,_
101,-kʷe,DIM,suffix,Noun,DIM,_
102,-kʷə,_,suffix,_,_,_
103,-l,DUR,suffix,Verb,DUR,_
104,-lamen,SG<1DU,suffix,Verb,SG<1DU,_
105,-lameːn,_,suffix,_,_,_
106,-lan,FREQ,suffix,Verb,FREQ,_
107,-lan,_,suffix,_,_,_
108,-lanən,_,suffix,_,_,_
109,-lat,VZER,suffix,Verb,VZER,_
110,-law,_,suffix,_,_,_
111,-len,SG<2DU,suffix,Verb,SG<2DU,_
112,-len,_,suffix,_,_,_
113,-liːn,SG<2DU,suffix,Verb,SG<2DU,_
114,-lum,_,suffix,_,_,_
115,-luw,SG<1PL,suffix,Verb,SG<1PL,_
116,-lǝn,SG<2PL,suffix,Verb,SG<2PL,_
117,-lǝn,SG<2SG,suffix,Verb,SG<2SG,_
118,-ləl,_,suffix,_,_,_
119,-ləm,SG<1SG,suffix,Verb,SG<1SG,_
